,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
127,127,72.24130249023438,2022-12-25 01:45:06.515878,2022-12-25 01:45:14.903233,0 days 00:00:08.387355,relu,0.2,3,0.6,72.24130249023438,,,,PRUNED
128,128,85.0060806274414,2022-12-25 01:45:14.980230,2022-12-25 01:45:23.527571,0 days 00:00:08.547341,relu,0.05,3,0.6,85.0060806274414,,,,PRUNED
129,129,124.1498031616211,2022-12-25 01:45:23.605239,2022-12-25 01:45:31.942597,0 days 00:00:08.337358,relu,0.1,2,0.65,124.1498031616211,,,,PRUNED
130,130,58.746334075927734,2022-12-25 01:45:32.021573,2022-12-25 01:45:47.842386,0 days 00:00:15.820813,relu,0.45,5,0.6,56.18149185180664,58.746334075927734,,,PRUNED
131,131,93.66552734375,2022-12-25 01:45:47.911659,2022-12-25 01:45:56.315742,0 days 00:00:08.404083,relu,0.15000000000000002,3,0.65,93.66552734375,,,,PRUNED
132,132,7.904648303985596,2022-12-25 01:45:56.412076,2022-12-25 01:46:31.664054,0 days 00:00:35.251978,relu,0.15000000000000002,2,0.6,21.731216430664062,7.904648303985596,,,PRUNED
133,133,11.585768699645996,2022-12-25 01:46:31.741881,2022-12-25 01:47:06.994694,0 days 00:00:35.252813,tanh,0.0,2,0.65,19.378219604492188,11.585768699645996,,,PRUNED
134,134,1.4675307273864746,2022-12-25 01:47:07.071363,2022-12-25 01:48:43.390848,0 days 00:01:36.319485,relu,0.1,2,0.6,17.93292999267578,5.241415977478027,4.33289098739624,,COMPLETE
135,135,32.3344841003418,2022-12-25 01:48:43.478035,2022-12-25 01:48:58.616088,0 days 00:00:15.138053,relu,0.05,3,0.6,32.3344841003418,,,,PRUNED
136,136,4.397409915924072,2022-12-25 01:48:58.697194,2022-12-25 01:50:34.483782,0 days 00:01:35.786588,relu,0.25,2,0.6,49.619014739990234,15.373645782470703,5.488264560699463,4.397409915924072,PRUNED
137,137,27.234464645385742,2022-12-25 01:50:34.564887,2022-12-25 01:50:50.057593,0 days 00:00:15.492706,sigmoid,0.05,3,0.65,66.28690338134766,27.234464645385742,,,PRUNED
138,138,30.304941177368164,2022-12-25 01:50:50.138340,2022-12-25 01:51:05.256433,0 days 00:00:15.118093,relu,0.1,2,0.6,50.55762481689453,30.304941177368164,,,PRUNED
139,139,6.943899154663086,2022-12-25 01:51:05.337546,2022-12-25 01:51:31.394956,0 days 00:00:26.057410,sigmoid,0.4,6,1.0,,,,,COMPLETE
140,140,7.020205974578857,2022-12-25 01:51:31.481519,2022-12-25 01:52:06.726749,0 days 00:00:35.245230,sigmoid,0.25,2,0.65,7.020205974578857,,,,PRUNED
141,141,87.45701599121094,2022-12-25 01:52:06.806849,2022-12-25 01:52:15.609403,0 days 00:00:08.802554,tanh,0.4,4,0.75,87.45701599121094,,,,PRUNED
142,142,99.63335418701172,2022-12-25 01:52:15.689560,2022-12-25 01:52:24.000436,0 days 00:00:08.310876,relu,0.5,2,0.6,99.63335418701172,,,,PRUNED
143,143,37.344520568847656,2022-12-25 01:52:24.080545,2022-12-25 01:52:39.315928,0 days 00:00:15.235383,relu,0.25,2,0.6,31.61044692993164,37.344520568847656,,,PRUNED
